n,algo,best_cost,runtime_sec,time_convergence_iter
50,SA,645.2458494977461,0.16562199592590332,1
50,ACO,581.9852826776415,0.7954497337341309,15
50,Tabu,607.7914538802922,3.0323851108551025,1186
50,GA,726.5534589490619,0.6224899291992188,626
100,SA,850.3383381866103,0.27466893196105957,19602
100,ACO,822.9005730916904,3.074495315551758,29
100,Tabu,794.3504907469471,5.32703423500061,1064
100,GA,1455.8327359895875,3.963498115539551,1965
200,SA,1294.239990845849,1.00850248336792,1
200,ACO,1166.5876923861924,12.129670858383179,50
200,Tabu,1285.242364900267,10.918502569198608,1494
200,GA,2193.3983108978655,30.295114994049072,3981
